Index	Genetic_ID	Source	Date_mean	Group_ID	Locality	Country	Latitude	Longitude	Sex
I0944	I0944	NarasimhanPattersonScience2019	3820	Russia_Petrovka	Stepnoe VII Cemetery	Russia	53.876000000000005	59.076	F
I1781	I1781	NarasimhanPattersonScience2019	3832	Turkmenistan_Gonur_BA_1	Gonur	Turkmenistan	38.21228	62.03443000000001	M
I1782	I1782	NarasimhanPattersonScience2019	4163	Turkmenistan_Gonur_BA_1	Gonur	Turkmenistan	38.21228	62.03443000000001	F
I1787	I1787	NarasimhanPattersonScience2019	4023	Turkmenistan_Gonur_BA_1	Gonur	Turkmenistan	38.21228	62.03443000000001	F
I1788	I1788	NarasimhanPattersonScience2019	3947	Turkmenistan_Gonur_BA_1	Gonur	Turkmenistan	38.21228	62.03443000000001	F
I1789	I1789	NarasimhanPattersonScience2019	4082	Turkmenistan_Gonur_BA_1_o2	Gonur	Turkmenistan	38.21228	62.03443000000001	M
I1790	I1790	NarasimhanPattersonScience2019	3994	Turkmenistan_Gonur_BA_1	Gonur	Turkmenistan	38.21228	62.03443000000001	F
I1792	I1792	NarasimhanPattersonScience2019	4254	Turkmenistan_Gonur_BA_1_o3	Gonur	Turkmenistan	38.21228	62.03443000000001	M
I1793	I1793	NarasimhanPattersonScience2019	4038	Turkmenistan_Gonur_BA_1	Gonur	Turkmenistan	38.21228	62.03443000000001	F
I2085	I2085	NarasimhanPattersonScience2019	3881	Turkmenistan_Gonur_BA_1	Gonur	Turkmenistan	38.21228	62.03443000000001	M
I2087	I2087	NarasimhanPattersonScience2019	4051	Turkmenistan_Gonur_BA_1	Gonur	Turkmenistan	38.21228	62.03443000000001	M
I2116	I2116	NarasimhanPattersonScience2019	3916	Turkmenistan_Gonur_BA_1	Gonur	Turkmenistan	38.21228	62.03443000000001	F
I2121	I2121	NarasimhanPattersonScience2019	4079	Turkmenistan_Gonur_BA_1	Gonur	Turkmenistan	38.21228	62.03443000000001	F
I2122	I2122	NarasimhanPattersonScience2019	4023	Turkmenistan_Gonur_BA_1_o2	Gonur	Turkmenistan	38.21228	62.03443000000001	F
I2123	I2123	NarasimhanPattersonScience2019	4211	Turkmenistan_Gonur_BA_2	Gonur	Turkmenistan	38.21228	62.03443000000001	F
I2125	I2125	NarasimhanPattersonScience2019	4011	Turkmenistan_Gonur_BA_1	Gonur	Turkmenistan	38.21228	62.03443000000001	F
I2128	I2128	NarasimhanPattersonScience2019	4056	Turkmenistan_Gonur_BA_1	Gonur	Turkmenistan	38.21228	62.03443000000001	M
I2922	I2922	NarasimhanPattersonScience2019	4043	Iran_C_TepeHissar	Tepe Hissar	Iran	36.15444444	54.38361111	F
I2927	I2927	NarasimhanPattersonScience2019	4447	Iran_C_TepeHissar	Tepe Hissar	Iran	36.15444444	54.38361111	M
I2928	I2928	NarasimhanPattersonScience2019	4625	Iran_C_TepeHissar	Tepe Hissar	Iran	36.15444444	54.38361111	F
I3374	I3374	NarasimhanPattersonScience2019	3966	Turkmenistan_Gonur_BA_1	Gonur	Turkmenistan	38.21228	62.03443000000001	F
I3807	I3807	OlaldeScience2019	400	Spain_NazariPeriod_Muslim	Andalusia, Granada, Mondújar (Lecrín), Nécropolis de Torna Alta	Spain	36.9508333	-3.547222222	M
I3981	I3981	OlaldeScience2019	1450	Spain_Roman	Andalusia, Granada, Paseíllos universitarios-Fuentenueva	Spain	37.1775	-3.6091666669999998	M
I4055_published	I4055	OlaldeScience2019	1650	Spain_Roman_published	Granada, Plaza Einstein	Spain	37.1775	-3.6091666669999998	M
I4246_published	I4246	OlaldeScience2019	4209	Spain_BellBeaker_oAfrican_published	Madrid, San Fernando de Henares, Camino de las Yeseras	Spain	40.439	-3.5010000000000003	M
I7179	I7179	AgranatTamirCell2020	3725	Israel_MLBA_lc	Yehud	Israel	32.032436	34.890611	M
I7180	I7180	AgranatTamirCell2020	3725	Israel_MLBA_lc	Yehud	Israel	32.032436	34.890611	F
I7182	I7182	AgranatTamirCell2020	3725	Israel_MLBA	Yehud	Israel	32.032436	34.890611	M
I7184	I7184	AgranatTamirCell2020	3725	Israel_MLBA_lc	Yehud	Israel	32.032436	34.890611	F
I7207	I7207	NarasimhanPattersonScience2019	4370	Czech_CordedWare	Radosevice	Czech Republic	50.410265	14.074597	M
I7208	I7208	NarasimhanPattersonScience2019	4324	Czech_CordedWare	Radosevice	Czech Republic	50.410265	14.074597	M
I7209	I7209	NarasimhanPattersonScience2019	4269	Czech_CordedWare	Radosevice	Czech Republic	50.410265	14.074597	M
I7579	I7579	OlaldeNature2018	3349	England_MBA_sister.I1780	England, Bedfordshire, Biddenham Loop	Great Britain	52.122402	-0.511365	F
I7580	I7580	OlaldeNature2018	3087	England_LBA_lowEEF	England, Bedfordshire, Biddenham Loop	Great Britain	52.122402	-0.511365	F
I7271	I7271	OlaldeNature2018	4200	Czech_BellBeaker_brother.I7278	Brandýsek	Czech Republic	50.19	14.158	M
I7278	I7278	OlaldeNature2018	4333	Czech_BellBeaker	Brandýsek	Czech Republic	50.19	14.158	M
I7041	I7041	OlaldeNature2018	4000	Hungary_EBA_Protonagyrev_brother.I7043	Szigetszentmiklós-Üdülősor	Hungary	47.429953999999995	19.051966	M
I7043	I7043	OlaldeNature2018	4011	Hungary_EBA_Protonagyrev	Szigetszentmiklós-Üdülősor	Hungary	47.429953999999995	19.051966	M
I7282	I7282	OlaldeNature2018	4200	Czech_BellBeaker	Radosevice	Czech Republic	50.410265	14.074597	M
I7283	I7283	OlaldeNature2018	4200	Czech_BellBeaker_mother.I7282	Radosevice	Czech Republic	50.410265	14.074597	F
I7289	I7289	OlaldeNature2018	4289	Czech_BellBeaker_sibling.I7214	Radosevice	Czech Republic	50.410265	14.074597	M
I7210	I7210	OlaldeNature2018	4071	Czech_BellBeaker_father.or.son.I7212	Radosevice	Czech Republic	50.410265	14.074597	M
I7212	I7212	OlaldeNature2018	4247	Czech_BellBeaker	Radosevice	Czech Republic	50.410265	14.074597	M
I7214	I7214	OlaldeNature2018	4200	Czech_BellBeaker	Radosevice	Czech Republic	50.410265	14.074597	F
I6788	I6788	NarasimhanPattersonScience2019	3674	Kazakhstan_MLBA_Alakul_Lisakovskiy	Lisakovskiy	Kazakhstan	52.61	62.69	F
I6800	I6800	NarasimhanPattersonScience2019	3656	Kazakhstan_MLBA_Alakul_Lisakovskiy	Lisakovskiy	Kazakhstan	52.61	62.69	F
I7101	I7101	NarasimhanPattersonScience2019	4050	Turkmenistan_Gonur_BA_1_lc	Gonur	Turkmenistan	38.21228	62.03443000000001	M
I7102	I7102	NarasimhanPattersonScience2019	3850	Turkmenistan_Gonur_BA_1_lc	Gonur	Turkmenistan	38.21228	62.03443000000001	F
I7170	I7170	NarasimhanPattersonScience2019	3850	Turkmenistan_Gonur_BA_1_lc	Gonur	Turkmenistan	38.21228	62.03443000000001	M
I7171	I7171	NarasimhanPattersonScience2019	4050	Turkmenistan_Gonur_BA_1_lc	Gonur	Turkmenistan	38.21228	62.03443000000001	F
I7173	I7173	NarasimhanPattersonScience2019	4050	Turkmenistan_Gonur_BA_1_contam_lc	Gonur	Turkmenistan	38.21228	62.03443000000001	U
I3023	I3023	BraceDiekmannNatureEcologyEvolution2019	5300	Wales_N	Wales, Brechnockshire, Hay-on-Wye, Little Lodge	Great Britain	52.034890999999995	-3.1935729999999998	M
I6695	I6695	NarasimhanPattersonScience2019	4575	Czech_CordedWare	Bilina	Czech Republic	50.548056	13.776110999999998	F
I6696	I6696	NarasimhanPattersonScience2019	4575	Czech_CordedWare	Velké Žernoseky	Czech Republic	50.542896	14.065942000000001	M
I7040	I7040	OlaldeNature2018	4300	Hungary_EBA_Protonagyrev	Szigetszentmiklós-Üdülősor	Hungary	47.429953999999995	19.051966	F
I7042	I7042	OlaldeNature2018	6086	Hungary_MN	Szigetszentmiklós-Üdülősor	Hungary	47.429953999999995	19.051966	M
I7044	I7044	OlaldeNature2018	4300	Hungary_EBA_BellBeaker	Szigetszentmiklós-Üdülősor	Hungary	47.429953999999995	19.051966	M
I7045	I7045	OlaldeNature2018	4231	Hungary_EBA_BellBeaker	Szigetszentmiklós-Üdülősor	Hungary	47.429953999999995	19.051966	F
I7195	I7195	OlaldeNature2018	4250	Czech_EBA	Prague 5, Jinonice, Zahradnictví	Czech Republic	50.0504153	14.3667267	F
I7196	I7196	OlaldeNature2018	4250	Czech_EBA	Prague 5, Jinonice, Zahradnictví	Czech Republic	50.0504153	14.3667267	M
I7197	I7197	OlaldeNature2018	6438	Czech_MN	Prague 5, Jinonice, Zahradnictví	Czech Republic	50.0504153	14.3667267	M
I7198	I7198	OlaldeNature2018	4026	Czech_EBA	Prague 5, Jinonice, Zahradnictví	Czech Republic	50.0504153	14.3667267	F
I7199	I7199	OlaldeNature2018	4039	Czech_EBA	Prague 5, Jinonice, Zahradnictví	Czech Republic	50.0504153	14.3667267	M
I7200	I7200	OlaldeNature2018	4250	Czech_EBA	Prague 5, Jinonice, Zahradnictví	Czech Republic	50.0504153	14.3667267	F
I7201	I7201	OlaldeNature2018	4250	Czech_EBA	Prague 5, Jinonice, Zahradnictví	Czech Republic	50.0504153	14.3667267	F
I7202	I7202	OlaldeNature2018	4250	Czech_EBA	Prague 5, Jinonice, Zahradnictví	Czech Republic	50.0504153	14.3667267	M
I7203	I7203	OlaldeNature2018	4250	Czech_EBA	Prague 5, Jinonice, Zahradnictví	Czech Republic	50.0504153	14.3667267	M
I7205	I7205	OlaldeNature2018	4200	Czech_BellBeaker	Radosevice	Czech Republic	50.410265	14.074597	M
I7211	I7211	OlaldeNature2018	4183	Czech_BellBeaker	Radosevice	Czech Republic	50.410265	14.074597	F
I7213	I7213	OlaldeNature2018	4231	Czech_BellBeaker	Radosevice	Czech Republic	50.410265	14.074597	F
I7249	I7249	OlaldeNature2018	4011	Czech_BellBeaker	Brandýsek	Czech Republic	50.19	14.158	M
I7251	I7251	OlaldeNature2018	4200	Czech_BellBeaker	Brandýsek	Czech Republic	50.19	14.158	M
I7250	I7250	OlaldeNature2018	4200	Czech_BellBeaker	Brandýsek	Czech Republic	50.19	14.158	F
I7269	I7269	OlaldeNature2018	4200	Czech_BellBeaker	Brandýsek	Czech Republic	50.19	14.158	M
I7272	I7272	OlaldeNature2018	5417	Czech_Eneolithic	Brandýsek	Czech Republic	50.19	14.158	M
I7270	I7270	OlaldeNature2018	4200	Czech_BellBeaker	Brandýsek	Czech Republic	50.19	14.158	F
I7275	I7275	OlaldeNature2018	4200	Czech_BellBeaker	Brandýsek	Czech Republic	50.19	14.158	M
I7276	I7276	OlaldeNature2018	4200	Czech_BellBeaker	Brandýsek	Czech Republic	50.19	14.158	M
I7279	I7279	OlaldeNature2018	4200	Czech_CordedWare	Brandýsek	Czech Republic	50.19	14.158	M
I7280	I7280	OlaldeNature2018	4200	Czech_CordedWare	Brandýsek	Czech Republic	50.19	14.158	M
I7281	I7281	OlaldeNature2018	4194	Czech_BellBeaker	Prague 5 - Malá Ohrada	Czech Republic	50.044984	14.339296	F
I7286	I7286	OlaldeNature2018	4221	Czech_BellBeaker	Radosevice	Czech Republic	50.410265	14.074597	M
I7287	I7287	OlaldeNature2018	4200	Czech_BellBeaker	Radosevice	Czech Republic	50.410265	14.074597	M
I7288	I7288	OlaldeNature2018	4200	Czech_BellBeaker	Radosevice	Czech Republic	50.410265	14.074597	M
I7290	I7290	OlaldeNature2018	4200	Czech_BellBeaker	Radosevice	Czech Republic	50.410265	14.074597	F
I7554	I7554	OlaldeNature2018	5182	Scotland_N	Scotland, Orkney, Unstan Chamber Tomb	Great Britain	58.9863	-3.2489999999999997	M
I7568	I7568	OlaldeNature2018	3400	England_MBA	England, Needingworth Quarry, Over Narrows	Great Britain	52.34	0.03	F
I7569	I7569	OlaldeNature2018	3484	England_C_EBA	England, Lincolnshire, Langtoft	Great Britain	52.696301	-0.34	F
I7570	I7570	OlaldeNature2018	3569	England_C_EBA	England, Lincolnshire, Langtoft	Great Britain	52.696301	-0.34	M
I7571	I7571	OlaldeNature2018	3306	England_MBA	England, Needingworth Quarry, Over Narrows	Great Britain	52.34	0.03	M
I7572	I7572	OlaldeNature2018	3380	England_MBA	England, Needingworth Quarry, Over Narrows	Great Britain	52.34	0.03	M
I7573	I7573	OlaldeNature2018	3520	England_C_EBA	England, Cambridgeshire, Fordham	Great Britain	52.310608	0.386227	F
I7574	I7574	OlaldeNature2018	3271	England_MBA	England, Cambridgeshire, Trumpington, Clay Farm	Great Britain	52.17839	0.122544	F
I7575	I7575	OlaldeNature2018	3107	England_LBA	England, Bedfordshire, Biddenham Loop	Great Britain	52.122402	-0.511365	M
I7576	I7576	OlaldeNature2018	3039	England_LBA	England, Bedfordshire, Biddenham Loop	Great Britain	52.122402	-0.511365	M
I7577	I7577	OlaldeNature2018	3198	England_MBA	England, Bedfordshire, Biddenham Loop	Great Britain	52.122402	-0.511365	M
I7578	I7578	OlaldeNature2018	3080	England_LBA	England, Bedfordshire, Biddenham Loop	Great Britain	52.122402	-0.511365	F
I7626	I7626	OlaldeNature2018	3231	England_MBA	England, Bedfordshire, Biddenham Loop	Great Britain	52.122402	-0.511365	F
I7627	I7627	OlaldeNature2018	3268	England_MBA	England, Bedfordshire, Biddenham Loop	Great Britain	52.122402	-0.511365	F
I7628	I7628	OlaldeNature2018	3033	England_LBA	England, Bedfordshire, Biddenham Loop	Great Britain	52.122402	-0.511365	M
I7630	I7630	OlaldeNature2018	3734	England_C_EBA	England, Yorkshire, East Riding, North Ferriby, Melton Quarry	Great Britain	53.726187	-0.529641	M
I7635	I7635	OlaldeNature2018	4030	England_C_EBA	England, County Durham, Stockton-on-Tees, Windmill Fields	Great Britain	54.522812	-1.308134	F
I7638	I7638	OlaldeNature2018	3995	England_C_EBA	England, Oxfordshire, Radley, Barrow Hills	Great Britain	51.405327	-1.150767	M
I7639	I7639	OlaldeNature2018	3797	England_C_EBA	England, Cambridgeshire, Chippenham, Waterhall Farm	Great Britain	52.276938	0.46190200000000003	F
I7640	I7640	OlaldeNature2018	3307	England_MBA	England, Cambridgeshire, Trumpington, Clay Farm	Great Britain	52.17839	0.122544	M
I1783	I1783	NarasimhanPattersonScience2019	4068	Turkmenistan_Gonur_BA_1_o1	Gonur	Turkmenistan	38.21228	62.03443000000001	F
MA826.RISE00.SG	Sope	SaagCurrentBiology2017.merge.with.AllentoftNature2015	4442	Estonia_CordedWare.SG_o1	Jäbara, Ida-Viru, Sope	Estonia	59.408	27.026	F
MA968.MA976.SG	Ardu1	SaagCurrentBiology2017	4652	Estonia_CordedWare.SG	Ardu, Harju	Estonia	59.1	25.37	M
CabecoArruda117B.SG	CabecoArruda117B	MartinianoPLoSGenetics2017	5050	Portugal_C.SG	Lisbon, Torres Vedras, Cabeço da Arruda I	Portugal	39.110833	-8.663583000000001	M
CabecoArruda122A.SG	I11600	MartinianoPLoSGenetics2017	5050	Portugal_C.SG	Lisbon, Torres Vedras, Cabeço da Arruda I	Portugal	39.110833	-8.663583000000001	M
CovaMoura364.SG	CovaMoura364	MartinianoPLoSGenetics2017	4200	Portugal_LN_C.SG	Cova da Moura	Portugal	38.745044	-9.21522	M
CovaMoura9B.SG	CovaMoura9B	MartinianoPLoSGenetics2017	4200	Portugal_LN_C.SG	Cova da Moura	Portugal	38.745044	-9.21522	F
DolmenAnsiao96B.SG	DolmenAnsiao96B	MartinianoPLoSGenetics2017	5450	Portugal_LN_C.SG	Dolmen de Ansião	Portugal	39.916667	-8.433333	M
LugarCanto41.SG	LugarCanto41	MartinianoPLoSGenetics2017	5950	Portugal_MN.SG	Lugar do Canto	Portugal	39.414	-8.822000000000001	F
LugarCanto42.SG	LugarCanto42	MartinianoPLoSGenetics2017	5950	Portugal_MN.SG	Lugar do Canto	Portugal	39.414	-8.822000000000001	F
LugarCanto44.SG	LugarCanto44	MartinianoPLoSGenetics2017	5950	Portugal_MN.SG	Lugar do Canto	Portugal	39.414	-8.822000000000001	F
LugarCanto45.SG	LugarCanto45	MartinianoPLoSGenetics2017	5950	Portugal_MN.SG	Lugar do Canto	Portugal	39.414	-8.822000000000001	M
MonteCanelas337A.SG	MonteCanelas337A	MartinianoPLoSGenetics2017	4954	Portugal_LN_C_o.SG	Monte Canelas 1	Portugal	37.199005	-8.587977	M
MonteGato104.SG	MonteGato104	MartinianoPLoSGenetics2017	3546	Portugal_MBA.SG	Monte do Gato de Cima 3	Portugal	37.944722	-7.598889	M
TV32032extra.SG	TV32032extra	MartinianoPLoSGenetics2017	3550	Portugal_MBA.SG	Torre Velha 3	Portugal	37.199005	-8.587977	M
TV3831.SG	TV3831	MartinianoPLoSGenetics2017	3550	Portugal_MBA.SG	Torre Velha 3	Portugal	37.199005	-8.587977	M
ValeOuro10207.SG	ValeOuro10207	MartinianoPLoSGenetics2017	3550	Portugal_MBA.SG	Monte do Vale do Ouro 2	Portugal	38.05	-8.1	F
Bon001.SG	Bon001	KilincCurrentBiology2016	10032	Turkey_Boncuklu_N.SG	Boncuklu	Turkey	37.751909999999995	32.864901	M
Bon002.SG	Bon002	KilincCurrentBiology2016	10078	Turkey_Boncuklu_N.SG	Boncuklu	Turkey	37.751909999999995	32.864901	F
Bon004.SG	Bon004	KilincCurrentBiology2016	10075	Turkey_Boncuklu_N.SG	Boncuklu	Turkey	37.751909999999995	32.864901	M
Bon005.SG	Bon005	KilincCurrentBiology2016	10220	Turkey_Boncuklu_N.SG	Boncuklu	Turkey	37.751909999999995	32.864901	F
Tep001.SG	Tep001	KilincCurrentBiology2016	8518	Turkey_TepecikCiftlik_N_o.SG	Tepecik Ciftlik	Turkey	38.172218	34.49387	M
Tep002.SG	Tep002	KilincCurrentBiology2016	8487	Turkey_TepecikCiftlik_N.SG	Tepecik Ciftlik	Turkey	38.172218	34.49387	F
Tep003.SG	Tep003	KilincCurrentBiology2016	8419	Turkey_TepecikCiftlik_N.SG	Tepecik Ciftlik	Turkey	38.172218	34.49387	M
Tep004.SG	Tep004	KilincCurrentBiology2016	8237	Turkey_TepecikCiftlik_N.SG	Tepecik Ciftlik	Turkey	38.172218	34.49387	F
Tep006.SG	Tep006	KilincCurrentBiology2016	8099	Turkey_TepecikCiftlik_N_father.or.son.Tep004.SG	Tepecik Ciftlik	Turkey	38.172218	34.49387	M
A_French-4.DG	HGDP00521	MeyerScience2012	0	Ignore_French(discovery).DG	..	France	46.0	2.0	M
S_Jordanian-2.DG	Jordan603	MallickNature2016	0	Jordanian.DG	Jordan migrants sampled in Kuwait	Jordan	32.054645	35.914307	M
S_Spanish-1.DG	HG01503	MallickNature2016	0	Spanish.DG	Castilla la Mancha	Spain	39.9	-4.0	M
S_Jordanian-3.DG	Jordan214	MallickNature2016	0	Jordanian.DG	Jordan migrants sampled in Kuwait	Jordan	32.054645	35.914307	M
S_Adygei-1.DG	HGDP01402	MallickNature2016	0	Adygei.DG	Krasnodar	Russia	44.0	39.0	M
S_French-1.DG	HGDP00530	MallickNature2016	0	French.DG	..	France	46.0	2.0	M
S_Bergamo-1.DG	HGDP01153	MallickNature2016	0	Italian_North.DG	Bergamo	Italy	46.0	10.0	M
S_BedouinB-1.DG	HGDP00616	MallickNature2016	0	BedouinB.DG	Negev	Israel	31.0	35.0	M
S_Iraqi_Jew-2.DG	IraqiJew4291	MallickNature2016	0	Jew_Iraqi.DG	..	Iraq	33.33333333	44.43333333	M
