"","Culture","PromLong","PromLat","Dated_Mean"
"1","Adygei_0",39,44,0
"2","Albanian_0",19.83,41.33,0
"3","Austria_EN_HG_LBK_0",16.29,48.12,7366
"4","Austria_EN_LBK_0",16.4766666666667,48.5466666666667,6992.77777777778
"5","Austria_Krems1_0",15.59,48.41,30850
"6","Austria_KremsWA3_0",15.59,48.41,30950
"7","Basque_0",0,43,0
"8","Belgium_UP_1",4.645,50.355,35208
"9","Belgium_UP_2",5.01,50.45,15077
"10","Belgium_UP_3",4.28,50.26,27505
"11","Belgium_UP_4",4.28,50.26,28051
"12","Belgium_UP_5",4.28,50.26,26300
"13","Bergamo_0",10,46,0
"14","Bulgaria_0",26.3272727272727,43.8018181818182,7789.54545454545
"15","Bulgaria_1",26.2691666666667,42.9416666666667,6387.16666666667
"16","Bulgaria_10",27.86,43.21,6513.8
"17","Bulgaria_2",24.74,42.16,0
"18","Bulgaria_3",25.61,43.14,7293
"19","Bulgaria_4",25.88,43.16,7701
"20","Bulgaria_5",25.2775,42.6825,7821.25
"21","Bulgaria_6",25.88,43.16,2592
"22","Bulgaria_7",25.5,42.13,3639
"23","Bulgaria_8",25.9,42.43,4450
"24","Bulgaria_9",26.1457142857143,42.7757142857143,4992.28571428571
"25","Creta_0",25.31,35.165,0
"26","Crimea_0",36.47,45.35,1604
"27","Croatia_0",16.46,43.35,7563.5
"28","Croatia_1",17.34,43.19,3513.5
"29","Croatia_3",18.7333333333333,45.48,6720
"30","Croatia_4",17.64,45.49,5421
"31","Croatia_5",16.71,42.97,9056
"32","Croatia_6",18.94,45.34,4731.33333333333
"33","Croatia_7",15.98,43.89,2722
"34","Croatia_8",18.7,45.34,6635
"35","Croatia_9",18.7,45.34,7681
"36","Czech.DG_0",14.4,50.1,0
"37","Czech_BA_0",13.78,50.55,3022
"38","Czech_Baalberge_0",13.78,50.55,5550
"39","Czech_BellBeaker_0",14.2670454545455,50.2247727272727,4179
"40","Czech_CordedWare_0",14.0542857142857,50.3857142857143,4359
"41","Czech_EarlySlav_0",14.16,50.19,1214.5
"42","Czech_EBA_0",15.20625,49.675625,4136.0625
"43","Czech_Eneolithic_0",14.16,50.19,5417
"44","Czech_IA_0",14.05,50.51,2629.5
"45","Czech_Megalithic_0",15.2,50.03,6634.5
"46","Czech_MN_0",14.37,50.05,6438
"47","Czech_N_0",14.46,50.12,6358
"48","Czech_Pav_0",16.39,48.53,30350
"49","Czech_Unetice_0",14.31,50.16,4150
"50","Czech_Vestonice_0",16.39,48.53,29800
"51","Czech_Vestonice_1",16.39,48.53,30800
"52","Denmark_BA_0",10.88,56.26,3340.5
"53","Denmark_EarlyViking_0",12.01,55.63,1138.33333333333
"54","Denmark_IA_0",11.6375,55.77,1740.25
"55","Denmark_LBA_0",11.57,55.91,2612
"56","Denmark_LN_0",11.09,56.17,4030.5
"57","Denmark_LN_BA_0",12.12,55.73,3838
"58","Denmark_MN_B_0",11.86,55.7,4569
"59","Denmark_Viking_0",10.5334615384615,55.3288461538462,1031.75641025641
"60","England_BellBeaker_0",-1.01416666666667,52.4683333333333,4092.5
