Index	Genetic_ID	Source	Date_mean	Group_ID	Locality	Country	Latitude	Longitude	Sex	Culture
I0626_all	I0626	LipsonScience2018	3850	Vietnam_N_all	Man Bac	Vietnam	20.13333333	105.9833333	M	no
I0627_all	I0627	LipsonScience2018	3949	Vietnam_N_all	Man Bac	Vietnam	20.13333333	105.9833333	F	no
I1137_all_published	I1137	LipsonScience2018	3758	Vietnam_N_all_published	Man Bac	Vietnam	20.13333333	105.9833333	M	no
I1859_all	I1859	LipsonScience2018	3762	Vietnam_N_all	Man Bac	Vietnam	20.13333333	105.9833333	F	no
I2497_all	I2497	LipsonScience2018	1950	Vietnam_BA_all	Nui Nap	Vietnam	19.8	105.8	F	no
I2731_all	I2731	LipsonScience2018	3684	Vietnam_N_all	Man Bac	Vietnam	20.13333333	105.9833333	M	no
I4451_all	I4451	LipsonCurrentBiology2018	2260	Vanuatu_2300BP_all	Efate, Mele-Taplins	Vanuatu	-17.689401	168.289509	M	no
I0626	I0626	LipsonScience2018	3850	Vietnam_N	Man Bac	Vietnam	20.13333333	105.9833333	M	no
I0627	I0627	LipsonScience2018	3949	Vietnam_N	Man Bac	Vietnam	20.13333333	105.9833333	F	no
I0944	I0944	NarasimhanPattersonScience2019	3820	Russia_Petrovka	Stepnoe VII Cemetery	Russia	53.876	59.076	F	Russia_Petrovka_0
I1135	I1135	LipsonScience2018	3715	Vietnam_N	Man Bac	Vietnam	20.13333333	105.9833333	M	no
I1137	I1137	LipsonScience2018	3758	Vietnam_N_published	Man Bac	Vietnam	20.13333333	105.9833333	M	no
I1781	I1781	NarasimhanPattersonScience2019	3832	Turkmenistan_Gonur_BA_1	Gonur	Turkmenistan	38.21228	62.03443	M	no
I1782	I1782	NarasimhanPattersonScience2019	4163	Turkmenistan_Gonur_BA_1	Gonur	Turkmenistan	38.21228	62.03443	F	no
I1787	I1787	NarasimhanPattersonScience2019	4023	Turkmenistan_Gonur_BA_1	Gonur	Turkmenistan	38.21228	62.03443	F	no
I1788	I1788	NarasimhanPattersonScience2019	3947	Turkmenistan_Gonur_BA_1	Gonur	Turkmenistan	38.21228	62.03443	F	no
I1789	I1789	NarasimhanPattersonScience2019	4082	Turkmenistan_Gonur_BA_1_o2	Gonur	Turkmenistan	38.21228	62.03443	M	no
I1790	I1790	NarasimhanPattersonScience2019	3994	Turkmenistan_Gonur_BA_1	Gonur	Turkmenistan	38.21228	62.03443	F	no
I1792	I1792	NarasimhanPattersonScience2019	4254	Turkmenistan_Gonur_BA_1_o3	Gonur	Turkmenistan	38.21228	62.03443	M	no
I1793	I1793	NarasimhanPattersonScience2019	4038	Turkmenistan_Gonur_BA_1	Gonur	Turkmenistan	38.21228	62.03443	F	no
I1859	I1859	LipsonScience2018	3762	Vietnam_N	Man Bac	Vietnam	20.13333333	105.9833333	F	no
I2085	I2085	NarasimhanPattersonScience2019	3881	Turkmenistan_Gonur_BA_1	Gonur	Turkmenistan	38.21228	62.03443	M	no
I2087	I2087	NarasimhanPattersonScience2019	4051	Turkmenistan_Gonur_BA_1	Gonur	Turkmenistan	38.21228	62.03443	M	no
I2116	I2116	NarasimhanPattersonScience2019	3916	Turkmenistan_Gonur_BA_1	Gonur	Turkmenistan	38.21228	62.03443	F	no
I2121	I2121	NarasimhanPattersonScience2019	4079	Turkmenistan_Gonur_BA_1	Gonur	Turkmenistan	38.21228	62.03443	F	no
I2122	I2122	NarasimhanPattersonScience2019	4023	Turkmenistan_Gonur_BA_1_o2	Gonur	Turkmenistan	38.21228	62.03443	F	no
I2123	I2123	NarasimhanPattersonScience2019	4211	Turkmenistan_Gonur_BA_2	Gonur	Turkmenistan	38.21228	62.03443	F	no
I2125	I2125	NarasimhanPattersonScience2019	4011	Turkmenistan_Gonur_BA_1	Gonur	Turkmenistan	38.21228	62.03443	F	no
I2128	I2128	NarasimhanPattersonScience2019	4056	Turkmenistan_Gonur_BA_1	Gonur	Turkmenistan	38.21228	62.03443	M	no
I2497	I2497	LipsonScience2018	1950	Vietnam_BA	Nui Nap	Vietnam	19.8	105.8	F	no
I2731	I2731	LipsonScience2018	3684	Vietnam_N	Man Bac	Vietnam	20.13333333	105.9833333	M	no
I2922	I2922	NarasimhanPattersonScience2019	4043	Iran_C_TepeHissar	Tepe Hissar	Iran	36.15444444	54.38361111	F	no
I2927	I2927	NarasimhanPattersonScience2019	4447	Iran_C_TepeHissar	Tepe Hissar	Iran	36.15444444	54.38361111	M	no
I2928	I2928	NarasimhanPattersonScience2019	4625	Iran_C_TepeHissar	Tepe Hissar	Iran	36.15444444	54.38361111	F	no
I2960	I2960	NarasimhanPattersonScience2019	822	Pakistan_Medieval_Udegram_Ghaznavid_father.or.son.I2959	Swat Valley, Udegram	Pakistan	34.74319444	72.31421667	M	no
I3374	I3374	NarasimhanPattersonScience2019	3966	Turkmenistan_Gonur_BA_1	Gonur	Turkmenistan	38.21228	62.03443	F	no
I3448	I3448	NarasimhanPattersonScience2019	3700	Kazakhstan_MLBA_Dali	Byan Zherek, eastern spur, Dali	Kazakhstan	45.13237778	79.36439444	F	no
I3456	I3456	NarasimhanPattersonScience2019	2994	Kazakhstan_LBA_Tasbas	Tasbas, Byan Zherek	Kazakhstan	45.13427	79.36794	M	no
I3807	I3807	OlaldeScience2019	400	Spain_NazariPeriod_Muslim	Andalusia, Granada, Mondújar (Lecrín), Nécropolis de Torna Alta	Spain	36.9508333	-3.547222222	M	Spain_NazariPeriod_0
I3981	I3981	OlaldeScience2019	1450	Spain_Roman	Andalusia, Granada, Paseíllos universitarios-Fuentenueva	Spain	37.1775	-3.609166667	M	Spain_Roman_2
I4055_published	I4055	OlaldeScience2019	1650	Spain_Roman_published	Granada, Plaza Einstein	Spain	37.1775	-3.609166667	M	Spain_Roman_0
I4246_published	I4246	OlaldeScience2019	4209	Spain_BellBeaker_oAfrican_published	Madrid, San Fernando de Henares, Camino de las Yeseras	Spain	40.439	-3.501	M	Spain_BellBeaker_0
I4451	I4451	LipsonCurrentBiology2018	2260	Vanuatu_2300BP	Efate, Mele-Taplins	Vanuatu	-17.689401	168.289509	M	no
I7179	I7179	AgranatTamirCell2020	3725	Israel_MLBA_lc	Yehud	Israel	32.032436	34.890611	M	no
I7180	I7180	AgranatTamirCell2020	3725	Israel_MLBA_lc	Yehud	Israel	32.032436	34.890611	F	no
I7182	I7182	AgranatTamirCell2020	3725	Israel_MLBA	Yehud	Israel	32.032436	34.890611	M	no
I7184	I7184	AgranatTamirCell2020	3725	Israel_MLBA_lc	Yehud	Israel	32.032436	34.890611	F	no
I7207	I7207	NarasimhanPattersonScience2019	4370	Czech_CordedWare	Radosevice	Czech Republic	50.410265	14.074597	M	Czech_CordedWare_0
I7208	I7208	NarasimhanPattersonScience2019	4324	Czech_CordedWare	Radosevice	Czech Republic	50.410265	14.074597	M	Czech_CordedWare_0
I7209	I7209	NarasimhanPattersonScience2019	4269	Czech_CordedWare	Radosevice	Czech Republic	50.410265	14.074597	M	Czech_CordedWare_0
I7579	I7579	OlaldeNature2018	3349	England_MBA_sister.I1780	England, Bedfordshire, Biddenham Loop	Great Britain	52.122402	-0.511365	F	England_MBA_0
I7580	I7580	OlaldeNature2018	3087	England_LBA_lowEEF	England, Bedfordshire, Biddenham Loop	Great Britain	52.122402	-0.511365	F	England_LBA_0
I7271	I7271	OlaldeNature2018	4200	Czech_BellBeaker_brother.I7278	Brandýsek	Czech Republic	50.19	14.158	M	Czech_BellBeaker_0
I7278	I7278	OlaldeNature2018	4333	Czech_BellBeaker	Brandýsek	Czech Republic	50.19	14.158	M	Czech_BellBeaker_0
I7041	I7041	OlaldeNature2018	4000	Hungary_EBA_Protonagyrev_brother.I7043	Szigetszentmiklós-Üdülősor	Hungary	47.429954	19.051966	M	Hungary_EBA_0
I7043	I7043	OlaldeNature2018	4011	Hungary_EBA_Protonagyrev	Szigetszentmiklós-Üdülősor	Hungary	47.429954	19.051966	M	Hungary_EBA_0
I7282	I7282	OlaldeNature2018	4200	Czech_BellBeaker	Radosevice	Czech Republic	50.410265	14.074597	M	Czech_BellBeaker_0
I7283	I7283	OlaldeNature2018	4200	Czech_BellBeaker_mother.I7282	Radosevice	Czech Republic	50.410265	14.074597	F	Czech_BellBeaker_0
I7289	I7289	OlaldeNature2018	4289	Czech_BellBeaker_sibling.I7214	Radosevice	Czech Republic	50.410265	14.074597	M	Czech_BellBeaker_0
I7210	I7210	OlaldeNature2018	4071	Czech_BellBeaker_father.or.son.I7212	Radosevice	Czech Republic	50.410265	14.074597	M	Czech_BellBeaker_0
I7212	I7212	OlaldeNature2018	4247	Czech_BellBeaker	Radosevice	Czech Republic	50.410265	14.074597	M	Czech_BellBeaker_0
I7214	I7214	OlaldeNature2018	4200	Czech_BellBeaker	Radosevice	Czech Republic	50.410265	14.074597	F	Czech_BellBeaker_0
